pubmed_id	size	cl_id	Comment	Intact?
32705708	1			
22270917	1			
22334672	1			
20010814	1			
20010843	1			
20043910	1			
20182505	1			
25653167	1			
25720963	1			
25731175	1			
20526328	1			
22495310	1			
33450483	1			
14707112	1			
14757752	1			
15078903	1			
15328530	1			
33741941	1			
33876849	1			
33972691	1			
25893917	1			
25896326	1			
25915125	1			
25923214	1			
26206935	1			
26226295	1			
19693014	1			
25807284	1			
34237462	1			
34296442	1			
21726810	1			
21765415	1			
22094252	1			
22102817	1			
22153076	1			
22164283	1			
10649446	1			
37511433	1			
10613896	1			
37671092	1			
36357673	1			
11134073	1			
38012669	1			
10880535	1			
