gene_name	localisation
ZZZ3	Nucleoli
ZZZ3	Nucleoli-rim
ZZZ3	Nucleoplasm
USP2	Cytosol
TUBG2	Centriolar-satellite
TUBG2	Principal-piece
RPL26L1	Cytosol
RPL26L1	Endoplasmic-reticulum
FLT4	Microtubules
FLT4	Primary-cilium
FBXO42	Nucleoplasm
MFAP3	Golgi-apparatus
MRI1	Cytosol
MRI1	Nucleoplasm
METTL1	Nucleoplasm
HOXC8	Microtubules
HOXC8	Nucleoplasm
PI4K2B	Cytosol
BOD1L1	Nucleoplasm
MAT2B	Plasma-membrane
TLL1	Vesicles
EDC4	Cytoplasmic-bodies
TRIO	Cytosol
VCAN	End-piece
VCAN	Mid-piece
VCAN	Principal-piece
VCAN	Vesicles
CLEC16A	Nucleoplasm
CLEC16A	Vesicles
CDH1	Cell-Junctions
CDH1	Plasma-membrane
MTREX	Nucleoplasm
ZFYVE16	Cytosol
ZFYVE16	Vesicles
RIPOR1	Golgi-apparatus
RAI14	Nucleoplasm
SOX30	Nucleoplasm
SOX30	Vesicles
PNKP	Nucleoli
PNKP	Nucleoplasm
BEST2	End-piece
BEST2	Flagellar-centriole
BEST2	Principal-piece
PHLPP2	Cytokinetic-bridge
PHLPP2	Mitotic-spindle
SPDL1	Cytosol
STAU2	Nucleoplasm
SLC66A1	Vesicles
CTNS	Vesicles
RTN4R	Focal-adhesion-sites
RTN4R	Plasma-membrane
PHF23	Nucleoplasm
CDH10	Cell-Junctions
INPP4A	Nuclear-membrane
INPP4A	Nucleoplasm
RAB27B	Golgi-apparatus
RAB27B	Plasma-membrane
PSMA4	Cytosol
PSMA4	Nucleoplasm
MYO16	Vesicles
LSG1	Cytosol
LSG1	Nuclear-bodies
PARP3	Nuclear-bodies
PARP3	Nucleoplasm
THAP3	Nucleoplasm
RIPOR3	Nucleoplasm
TDP1	Nucleoplasm
AIFM2	Vesicles
SPATA7	Mid-piece
SPATA7	Primary-cilium-transition-zone
SPATA7	Vesicles
MED17	Nuclear-speckles
RETSAT	Cytosol
CAPG	Nucleoplasm
USH2A	Acrosome
USH2A	Equatorial-segment
USH2A	Mid-piece
USH2A	Principal-piece
ADAM28	Plasma-membrane
BARX2	Nucleoplasm
DCUN1D1	Nucleoplasm
JADE2	Nucleoplasm
ZIC2	Nuclear-bodies
LCP2	Cytosol
TRIT1	Mitochondria
CTNNA1	Cell-Junctions
CTNNA1	Plasma-membrane
PHKA2	Nucleoplasm
CNTLN	Centrosome
EPHA3	Cytosol
EPHA3	Nuclear-membrane
EPHA3	Plasma-membrane
DSG2	Cell-Junctions
GEMIN8	Cytosol
GEMIN8	Nucleoplasm
MAGEC2	Nucleoplasm
PREX2	Endoplasmic-reticulum
WDR37	Intermediate-filaments
YTHDC2	Nucleoplasm
CTPS2	Cytosol
CTPS2	Mitochondria
ATP6V1H	Actin-filaments
ATP6V1H	Cytosol
POLR2B	Nucleoplasm
ATOSA	Nucleoplasm
ARAP2	Focal-adhesion-sites
TPR	Nuclear-membrane
KATNIP	Basal-body
KATNIP	Nucleoplasm
DTNBP1	Microtubules
XK	Mitochondria
ANO2	Plasma-membrane
C12orf4	Nuclear-bodies
SCML1	Nucleoplasm
WWC3	Cytosol
ARHGAP6	Cytosol
MAP4	Cytosol
MAP4	Microtubules
MAP4	Plasma-membrane
MAP4	Primary-cilium
GOPC	Golgi-apparatus
ROS1	Vesicles
USP28	Nucleoplasm
HDAC9	Nucleoplasm
NOP16	Nucleoli
CC2D2A	Connecting-piece
CC2D2A	Mid-piece
RRM2B	Nucleoplasm
ZNF800	Nucleoli
ZNF800	Nucleoli-rim
TNFRSF17	Golgi-apparatus
SNX29	Golgi-apparatus
MRPS10	Mitochondria
RSF1	Nucleoplasm
VPS13D	Nucleoplasm
VPS13D	Vesicles
CELF2	Nucleoplasm
FAM120A	Cytosol
R3HDM1	Cytosol
R3HDM1	Nucleoplasm
COL9A2	Vesicles
KITLG	Vesicles
ERCC8	Nuclear-speckles
PER3	Cytosol
TNFRSF9	Plasma-membrane
EPN3	Vesicles
RCN1	Endoplasmic-reticulum
ELN	Plasma-membrane
RFC2	Nucleoplasm
ARID1B	Nucleoplasm
CLPTM1L	Endoplasmic-reticulum
FOXP3	Nucleoplasm
PPP1R3F	Nucleoplasm
PPP1R3F	Vesicles
NEXMIF	Nucleoplasm
JKAMP	Vesicles
DKK3	Vesicles
ARHGEF5	Cytosol
ARHGEF5	Plasma-membrane
NFE2L3	Nucleoplasm
NFE2L3	Vesicles
LIMA1	Actin-filaments
LIMA1	Plasma-membrane
LETMD1	Mitochondria
SLC4A8	Plasma-membrane
TNIP3	Cytosol
TNIP3	Nucleoplasm
MAPK9	Cytosol
MAPK9	Plasma-membrane
BCAR1	Focal-adhesion-sites
BCAR1	Plasma-membrane
FHIP1B	Mitochondria
HOMER3	Cytosol
RAD51	Nucleoli
POLQ	Nucleoplasm
PIK3CB	Nucleoli
PIK3CB	Nucleoplasm
THOC3	Nucleoplasm
PLEKHA5	Cytosol
PLEKHA5	Nucleoplasm
SIKE1	Focal-adhesion-sites
RRP12	Nucleoli
FNIP2	Cytosol
MSMO1	Endoplasmic-reticulum
TTC17	Plasma-membrane
ALX4	Nucleoplasm
FSTL4	Vesicles
FOXN3	Nucleoplasm
AKR7A2	Cytosol
MRTO4	Nuclear-membrane
MRTO4	Nucleoplasm
MCF2L2	Centriolar-satellite
MCF2L2	Cytosol
NRIP2	Cytosol
NRIP2	Nucleoplasm
LAMA3	Endoplasmic-reticulum
KCNQ1	Endoplasmic-reticulum
TRAPPC3	Cytosol
TRAPPC3	Golgi-apparatus
THRAP3	Nuclear-speckles
PHPT1	Cytosol
LY75	Golgi-apparatus
ARID4B	Cytosol
ARID4B	Mitochondria
SDCCAG8	Basal-body
SDCCAG8	Centrosome
HHAT	Golgi-apparatus
FOXC1	Nucleoplasm
TBC1D22A	Golgi-apparatus
SYNE2	Intermediate-filaments
SYNE2	Nuclear-membrane
PLEKHH1	Centrosome
CBLN4	Cytosol
CBLN4	Flagellar-centriole
CBLN4	Mid-piece
CBLN4	Principal-piece
CHRDL2	Vesicles
FAM168A	Nucleoplasm
RELT	Cytosol
NOP58	Nucleoli-fibrillar-center
SZRD1	Cytosol
SZRD1	Nucleoplasm
CUL1	Cytosol
CUL1	Nucleoplasm
FAM114A2	Vesicles
CYFIP2	Endoplasmic-reticulum
GINM1	Nucleoli-fibrillar-center
GINM1	Plasma-membrane
EIF2AK2	Cytosol
USP36	Nucleoli
USP36	Nucleoli-rim
KMT2C	Nucleoplasm
PUM2	Cytosol
MRPL43	Mitochondria
MRPL43	Nucleoplasm
ITIH4	Vesicles
ITIH1	Vesicles
HPF1	Cytosol
ZFR	Nucleoplasm
ZNF280C	Nucleoli-fibrillar-center
ZNF280C	Nucleoplasm
NPFFR2	Plasma-membrane
PHF21B	Nucleoli-fibrillar-center
PHF21B	Nucleoplasm
TRAF1	Nucleoplasm
RC3H2	Vesicles
IL17RB	Plasma-membrane
IL17RB	Vesicles
TRAF3IP2	Golgi-apparatus
GYG2	Cytosol
GYG2	Nucleoli
DCBLD2	Cytosol
DCBLD2	Plasma-membrane
SERPINB3	Cytosol
SOAT1	Endoplasmic-reticulum
PKP2	Cell-Junctions
MSH4	Nucleoplasm
GDI2	Cytosol
GDI2	Plasma-membrane
PRDM1	Nucleoli
ATG5	Basal-body
ATG5	Centrosome
ATG5	Primary-cilium-transition-zone
TMCC3	Endoplasmic-reticulum
MTA3	Nucleoplasm
USP13	Cytosol
USP13	Nucleoplasm
ATP11B	Centriolar-satellite
ATP11B	Cytosol
LAMC2	Endoplasmic-reticulum
LAMC2	Golgi-apparatus
CDK14	Nucleoplasm
SEC61A1	Endoplasmic-reticulum
PPP1R12A	Actin-filaments
PPP1R12A	Cytosol
RASGRF1	Golgi-apparatus
CAMK2B	Plasma-membrane
CAMK2B	Primary-cilium-tip
CAMK2B	Primary-cilium-transition-zone
CAMK2B	Principal-piece
CROCC	Basal-body
CROCC	Centrosome
POLR3E	Nucleoplasm
ATP2B4	Plasma-membrane
ATP2B4	Primary-cilium
ZC3H11A	Nuclear-speckles
RIOK2	Cytosol
YIPF1	Golgi-apparatus
NDC1	Nuclear-membrane
DGKG	Plasma-membrane
DGKG	Vesicles
FLYWCH1	Nuclear-bodies
UNKL	Cytosol
TBXAS1	Cytosol
TBXAS1	Endoplasmic-reticulum
PARP12	Nucleoplasm
ALDH18A1	Mitochondria
TARBP1	Nuclear-speckles
GATB	Mitochondria
CDK17	Cytosol
CDK17	Nucleoplasm
DNAJC25	Nucleoplasm
SLC2A3	Plasma-membrane
CTDP1	Nucleoplasm
YBX3	Cytosol
STYK1	Plasma-membrane
WNK1	Cytosol
CCAR1	Nucleoplasm
OGFR	Nucleoplasm
PIGV	Cytosol
SNRNP40	Nuclear-speckles
RIMBP2	Nucleoplasm
COL11A1	Endoplasmic-reticulum
QSER1	Nucleoplasm
MPC1	Mitochondria
ACAA1	Peroxisomes
HDAC7	Cytosol
LZTS1	Plasma-membrane
PRDM6	Nucleoplasm
NCKAP1	Cytosol
MRPS35	Mitochondria
GUCY1B1	Cytosol
SFSWAP	Nucleoplasm
TNK2	Plasma-membrane
MON2	Nucleoli-fibrillar-center
MON2	Nucleoplasm
CDH3	Cell-Junctions
CDH3	Plasma-membrane
ARSF	Cytosol
ARSF	Vesicles
GPBP1	Cytosol
GPBP1	Vesicles
DGAT2	Cytosol
DGAT2	Vesicles
ZNF112	Nucleoplasm
CS	Mitochondria
LTK	Vesicles
ELMO2	Cytosol
WAPL	Nucleoplasm
VMP1	Endoplasmic-reticulum
APPBP2	Nucleoplasm
POLD1	Nucleoplasm
EIF4B	Cytosol
EIF4B	Endoplasmic-reticulum
